episode,name,line
4x02 - The Best Burger in New York,Barney," Goliath National Bank. The world leader in credit and banking. God, I love Goliath National Bank!
"
4x02 - The Best Burger in New York,Ted," Okay, first of all, you look like the last pick in the draft. And, second, why are you so excited about some bank?
"
4x02 - The Best Burger in New York,Barney," Our company just bought them out in a ruthless takeover. Took two months. Cost 2,000 jobs. It was brutal. Who wants a T-shirt?  Hey, Marshall, they're hiring in the legal department. I could get you a job.
"
4x02 - The Best Burger in New York,Lily," Barney, Marshall didn't quit his last soul-sucking corporate job just to go work at a bank. He's gonna be an environmental lawyer.
"
4x02 - The Best Burger in New York,Ted," So, what do you guys want to do for dinner?
"
4x02 - The Best Burger in New York,Robin," Great, we'll take five of those.
"
4x02 - The Best Burger in New York,Ted," Really? You want to eat here?
"
4x02 - The Best Burger in New York,Robin," Yeah, I'm freaking starving. I just finished a seven-day cleanse.
"
4x02 - The Best Burger in New York,Marshall," I thought you started that yesterday.
"
4x02 - The Best Burger in New York,Robin," I finished early, OK?
"
4x02 - The Best Burger in New York,Ted," Wait. What about sushi?
"
4x02 - The Best Burger in New York,Lily," We had sushi last night.
"
4x02 - The Best Burger in New York,Barney," Italian.
"
4x02 - The Best Burger in New York,Ted," I had Italian for lunch.
"
4x02 - The Best Burger in New York,Robin," No. We always do this. We spend an hour arguing about where to eat, and we end up here anyway. I haven't eaten for two days. Can we please, for the love of God, just order something now?
"
4x02 - The Best Burger in New York,Ted," Chinese?
"
4x02 - The Best Burger in New York,Robin," Oh.
"
4x02 - The Best Burger in New York,Barney," I don't like Chinese.
"
4x02 - The Best Burger in New York,Ted," Indian?
"
4x02 - The Best Burger in New York,Barney," I just said I don't like Chinese.
"
4x02 - The Best Burger in New York,Ted," Indian isn't Chinese.
"
4x02 - The Best Burger in New York,Barney," Weird meats, funny music, side of rice. Why are we splitting hairs?
"
4x02 - The Best Burger in New York,Ted," Mexican?
"
4x02 - The Best Burger in New York,Barney," I just said I don't like Chinese.
"
4x02 - The Best Burger in New York,Robin," God.
"
4x02 - The Best Burger in New York,Robin," Of course, mine comes last. Go ahead, start without me.
"
4x02 - The Best Burger in New York,Lily," My God. This burger is so good. It's like Christmas in my mouth, meat Christmas.
"
4x02 - The Best Burger in New York,Ted," It's like an angel from heaven landed in the kitchen at MacLaren's. Where the chef k*ll it and ran it through the meat grinder.
"
4x02 - The Best Burger in New York,Barney," I love this burger so much, I want to sew my ass shut.
"
4x02 - The Best Burger in New York,Marshall," It's okay.
"
4x02 - The Best Burger in New York,Marshall," Guys, guys, guys. When you've had the best burger in NY, every other burger tastes like my grandpa's feet. But you guys eat up, enjoy my grandpa's feet.
"
4x02 - The Best Burger in New York,Robin," And you've had the best burger in New York?
"
4x02 - The Best Burger in New York,Marshall," It was eight years ago, my first week in New York, and for a kid from Minnesota, the big city was a scary place.
"
4x02 - The Best Burger in New York,Marshall," Oh, thank God it's just you.
"
4x02 - The Best Burger in New York,Ted," You are being ridiculous. (
"
4x02 - The Best Burger in New York,Marshall," Why would I have to leave? I can have anything I want delivered, and New York City cable is awesome. Have you seen this public access show with the old Jewish lady in a bikini?
"
4x02 - The Best Burger in New York,Ted," Marshall, you have to get over this paranoia. You are not gonna get mugged.
"
4x02 - The Best Burger in New York,Marshall," What if I do, Ted. I don't have a switchblade. I don't know how to break-dance and win the begrudging respect of a street g*ng.
"
4x02 - The Best Burger in New York,Ted," That's it, you're taking a walk. Come on, go.
"
4x02 - The Best Burger in New York,Marshall," No. Look, the old lady in a bikini is back on. I'm just gonna lie back and get comfortable.
"
4x02 - The Best Burger in New York,Ted," Go outside, go, go.
"
4x02 - The Best Burger in New York,Marshall," Okay.
"
4x02 - The Best Burger in New York,Ted," Leave the bat.
"
4x02 - The Best Burger in New York,Marshall," Fine.
"
4x02 - The Best Burger in New York,Marshall," And then, right when I started to get a little hungry, I turned a corner...
"
4x02 - The Best Burger in New York,Marshall," And there it was.
"
4x02 - The Best Burger in New York,Barney," Name two places where things get stuffed.
"
4x02 - The Best Burger in New York,Marshall," So, I went inside.
"
4x02 - The Best Burger in New York,Marshall," Ted, you got to wake up. Wake...
"
4x02 - The Best Burger in New York,Ted," Oh, my God. I'm so sorry. Are you okay?
"
4x02 - The Best Burger in New York,Marshall," I'm all right. Ted, I've just had the most amazing burger of my life! It's this awesome little place, Regis Philbin eats there, so it's sort of like a celebrity hot spot. But the burger. The burger. Dude.
"
4x02 - The Best Burger in New York,Ted," I want one of those burgers right now! Do you think they're still open?
"
4x02 - The Best Burger in New York,Marshall," I don't know
"
4x02 - The Best Burger in New York,Marshall,"(Raising hands in the sky.)
"
4x02 - The Best Burger in New York,Robin," You couldn't find it?
"
4x02 - The Best Burger in New York,Ted," We didn't know our way around. Just getting back to the apartment took us three hours and one very helpful drag queen.
"
4x02 - The Best Burger in New York,Marshall," Wait, Penny Noir was a drag queen?
"
4x02 - The Best Burger in New York,Robin," Where do you think it was?
"
4x02 - The Best Burger in New York,Lily," Probably tucked between her legs.
"
4x02 - The Best Burger in New York,Barney," You know what's not a drag? Getting a home equity loan at Goliath National Bank. I'm just saying.
"
4x02 - The Best Burger in New York,Marshall," Anyways, we never found the place. Now, eight years have passed, still... No burger.
"
4x02 - The Best Burger in New York,Marshall," Okay, here we go.
"
4x02 - The Best Burger in New York,Marshall," No, you don't.
"
4x02 - The Best Burger in New York,Marshall," Oh, the Corner Bistro! It's amazing, I spent a quarter of my life searching for the best burger in New York City, but silly me, it never occurred to me to check the highest-rated burger in the Zagat guide. Wow, thanks a lot, guy. Let me return the favor. Great cup of coffee: Starbucks.
"
4x02 - The Best Burger in New York,Robin," So I take it you've tried the Corner Bistro.
"
4x02 - The Best Burger in New York,Marshall," Robin, I've tried every so-called best burger in New York City trying to find that burger. Or at least forget about her.
"
4x02 - The Best Burger in New York,Marshall,"(getting up)
"
4x02 - The Best Burger in New York,Marshall," But none of those places even came close.
"
4x02 - The Best Burger in New York,Ted," There was that one time we thought we had a break in the case, remember?
"
4x02 - The Best Burger in New York,Barney," Get this. You know who works out at my gym? Regis Philbin.
"
4x02 - The Best Burger in New York,Marshall,"(Watching Ted)
"
4x02 - The Best Burger in New York,Marshall," That's the one, Mr. Philbin. Do you remember where it is?
"
4x02 - The Best Burger in New York,Marshall," No.
"
4x02 - The Best Burger in New York,Barney," No. No, we don't know where it is.
"
4x02 - The Best Burger in New York,Barney," I don't know where it is, Regis, I swear!
"
4x02 - The Best Burger in New York,Barney," OK, Regis, we will, we will.
"
4x02 - The Best Burger in New York,Barney," All right.
"
4x02 - The Best Burger in New York,Marshall," That's where my story ends. Now I'm doomed to walk the earth forever searching for that green door and that red neon sign that says ""Burger.""
"
4x02 - The Best Burger in New York,Robin," Green door, red neon sign that says ""Burger?""
"
4x02 - The Best Burger in New York,Marshall," Yeah.
"
4x02 - The Best Burger in New York,Robin," I know that place. I've walked by it a million times. It's on West 12th, right off of 7th.
"
4x02 - The Best Burger in New York,Marshall," I knew it was on a numbered street!
"
4x02 - The Best Burger in New York,Robin," Finally.
"
4x02 - The Best Burger in New York,Marshall,"(taking Robin's burger in his hands)
"
4x02 - The Best Burger in New York,Robin," No...
"
4x02 - The Best Burger in New York,Marshall," I cannot believe we're finally gonna have this burger
"
4x02 - The Best Burger in New York,Lily," Honey, I'm so excited for you. After all these interviews, after all these disappointments, you deserve a triumphant mouth full of meat.
"
4x02 - The Best Burger in New York,Barney," You know what else is a mouthful? All that double-talk other banks give you. At Goliath, customer satisfaction is our most important investment.
"
4x02 - The Best Burger in New York,Lily," Barney, I hate to break this to you, but working for a bank's kind of lame.
"
4x02 - The Best Burger in New York,Barney," How lame is free a*t*matic bill pay? How lame is 3.3% APY online savings? Yeah, that's right. Hate to make you look stupid in front of your friends, but you left me no choice.
"
4x02 - The Best Burger in New York,Ted," We should probably call Regis.
"
4x02 - The Best Burger in New York,Barney," Reg...
"
4x02 - The Best Burger in New York,Marshall," Green door, red neon sign. Guys, this is the place. I've actually, I prepared a few words.
"
4x02 - The Best Burger in New York,Robin,"(On nerves)
"
4x02 - The Best Burger in New York,Marshall,"Let's just go inside then. Shall we?
"
4x02 - The Best Burger in New York,Robin," Please, go ahead, start.
"
4x02 - The Best Burger in New York,Robin," Just shut up and eat.
"
4x02 - The Best Burger in New York,Barney," All right.
"
4x02 - The Best Burger in New York,Ted," Oh my god. I'm never brushing my teeth again unless it's with a toothbrush made from this burger.
"
4x02 - The Best Burger in New York,Lily," I think I just had my first burg-asm.
"
4x02 - The Best Burger in New York,Barney," I want... to take this burger out to dinner, then maybe a movie, then take it back to my place, put on a little Terence Trent D'arby, and then I would just... fool around a little bit. Nothing serious, just take it slow, you know?
"
4x02 - The Best Burger in New York,Marshall,"(putting his burger in his plate)
"
4x02 - The Best Burger in New York,Marshall," It's not it.
"
4x02 - The Best Burger in New York,Ted," Marshall, you might not want to hear this, but... is it at all possible this is the same
"
4x02 - The Best Burger in New York,Robin," I mean, it is just a burger.
"
4x02 - The Best Burger in New York,Marshall," Just a burger? It's so much more than just a burger. I mean, that first bite... Oh, what heaven that first bite is. The bun, like a sesame-freckled breast of an angel, resting gently on the ketchup and mustard below. Flavors mingling in a seductive ""pas de deux"". And then... a pickle the most... playful... little pickle, and then a slice of tomato, a leaf of lettuce, and a... a patty... of ground beef, so... exquisite...swirling in your mouth, breaking apart and combining again in a fugue of sweets and savories so... delightful. This is no mere sandwich of grilled meat and toasted bread. This is God... speaking to us through food.
"
4x02 - The Best Burger in New York,Lily," And you got our wedding vows off the Internet.
"
4x02 - The Best Burger in New York,Marshall," Okay, look, so, so this, this isn't the place. All right, it's no big deal. It's another place with a green door and a red neon sign that says ""Burger"". I'll just... I'll call every restaurant in Manhattan and ask 'em what colour their door is. No big deal, right? Let's do this.
"
4x02 - The Best Burger in New York,Robin," I'm going to go out on a limb here and say this isn't just about a burger.
"
4x02 - The Best Burger in New York,Lily," Marshall's not doing so well, guys. He really needs to get a job.
"
4x02 - The Best Burger in New York,Ted," Tell them about the underpants.
"
